City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Geraldton,AU,-28.7667,114.6,63.01,94,75,10.36,broken clouds
298,Camacha,PT,33.0833,-16.3333,63.82,82,75,13.8,broken clouds
299,Morgan City,US,29.6994,-91.2068,88.0,79,20,13.8,few clouds
300,San Patricio,US,28.017,-97.5169,97.52,43,5,19.28,clear sky
301,Torbay,CA,47.6666,-52.7314,61.29,96,100,12.66,light rain
302,Huarmey,PE,-10.0681,-78.1522,69.6,73,61,11.12,broken clouds
303,Pangoa,PE,-12.1167,-73.0,75.7,77,75,4.7,broken clouds
304,Kavieng,PG,-2.5744,150.7967,81.01,74,13,12.62,few clouds
305,Kurumkan,RU,54.3,110.3,53.92,92,89,1.81,overcast clouds
306,Trinidad,BO,-14.8333,-64.9,71.58,68,100,18.41,heavy intensity rain
307,Dowa,MW,-13.654,33.9375,52.68,92,6,2.33,clear sky
308,Guerrero Negro,MX,27.9769,-114.0611,79.11,52,14,10.25,few clouds
309,Ancud,CL,-41.8697,-73.8203,46.96,67,84,6.29,broken clouds
310,Lagoa,PT,39.05,-27.9833,60.6,91,100,13.27,overcast clouds
311,Igrim,RU,63.1906,64.4162,54.75,88,79,3.33,broken clouds
312,Buala,SB,-8.145,159.5921,79.29,78,15,4.25,few clouds
313,Belaya Gora,RU,68.5333,146.4167,50.5,72,97,2.39,overcast clouds
314,Hearst,CA,49.6835,-83.6665,59.25,43,94,5.21,overcast clouds
315,Cedar City,US,37.6775,-113.0619,89.4,14,0,8.05,clear sky
316,Goulburn,AU,-34.75,149.7167,41.2,77,100,13.13,overcast clouds
317,Doha,QA,25.2867,51.5333,100.38,20,0,14.97,clear sky
318,Luanda,AO,-8.8368,13.2343,75.2,88,0,6.91,clear sky
319,Sharan,RU,54.8167,54.0,56.21,97,89,7.38,overcast clouds
320,Kindu,CD,-2.95,25.95,72.37,68,50,1.14,scattered clouds
321,Laguna,US,38.421,-121.4238,101.08,25,0,9.22,clear sky
322,Port Lincoln,AU,-34.7333,135.8667,56.03,76,100,8.95,overcast clouds
323,Tucuman,AR,-26.8241,-65.2226,57.2,62,100,0.0,overcast clouds
324,Leningradskiy,RU,69.3833,178.4167,39.78,55,97,9.17,overcast clouds
325,Helong,CN,42.5397,128.9972,50.79,95,94,1.92,overcast clouds
326,Bhadrachalam,IN,17.6667,80.8833,80.76,77,95,2.62,light rain
327,Swan Hill,AU,-35.3378,143.5544,42.66,92,5,7.0,clear sky
328,Suphan Buri,TH,14.4742,100.1222,80.58,69,100,7.2,overcast clouds
329,Takoradi,GH,4.8845,-1.7554,77.49,87,95,8.79,overcast clouds
330,Tahta,EG,26.7693,31.5021,95.81,13,0,6.17,clear sky
331,Bardiyah,LY,31.7561,25.0865,87.53,37,22,15.37,few clouds
332,Paita,PE,-5.0892,-81.1144,70.47,72,18,15.66,few clouds
333,Catamarca,AR,-28.4696,-65.7852,64.58,57,21,10.8,few clouds
334,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,25,0,6.91,clear sky
335,Reconquista,AR,-29.15,-59.65,56.3,36,0,8.34,clear sky
336,Kouroussa,GN,10.65,-9.8833,79.41,64,99,4.56,light rain
337,Saint-Augustin,CA,51.226,-58.6502,51.64,98,100,14.54,overcast clouds
338,Lianzhou,CN,24.7811,112.3825,75.6,99,100,1.5,moderate rain
339,Broken Hill,AU,-31.95,141.4333,46.9,92,18,10.09,few clouds
340,Atasu,KZ,48.6814,71.6433,65.91,36,73,8.99,broken clouds
341,Vanavara,RU,60.34,102.2797,52.07,69,62,0.76,broken clouds
342,Baykit,RU,61.67,96.37,55.44,64,87,3.33,overcast clouds
343,Mecca,SA,21.4267,39.8261,93.72,31,0,3.91,clear sky
344,Longyearbyen,SJ,78.2186,15.6401,37.24,81,100,6.91,overcast clouds
345,Seoul,KR,37.5683,126.9778,63.84,67,100,3.09,overcast clouds
